feature,gain_pre,gain_post,delta_post_minus_pre
areaperunit,0.1268040777657831,0.12342535506392811,-0.0033787227018549776
daily_needs_score,0.0509350897334735,0.04507943603057927,-0.005855653702894231
daily_needs_score_equal,0.02468761697147691,0.022561142391707468,-0.0021264745797694405
drivetime_min,0.0017970557811177177,0.0023561574659309143,0.0005591016848131966
family_support_score,0.08200341325745657,0.08261640967167683,0.0006129964142202599
lifestyle_score,0.06810793364434314,0.06335954574096489,-0.004748387903378254
numunits,0.1627033643206386,0.1630337381185721,0.00033037379793351973
ownrent_avg_mortgage,0.04315518213154622,0.038830393218546616,-0.0043247889129996026
ownrent_avg_rent,0.07463255795059402,0.10594131705679105,0.03130875910619703
ownrent_spread_abs,0.04442629536501936,0.03320024358595198,-0.01122605177906738
ownrent_spread_pct,0.04300453993955921,0.05221873291265811,0.009214192973098903
supply_baseline_units,0.04380249926172125,0.03097012182703154,-0.01283237743468971
supply_growth_pct,0.054267458659283334,0.05914493456624056,0.004877475906957224
supply_new_units,0.03016500784016544,0.03280425202792186,0.002639244187756417
year_renov,0.03607683981628388,0.037496862701227124,0.0014200228849432436
yearbuilt,0.11343106756153763,0.10696135762027145,-0.00646970994126618
